age,live,through,sex,domain,transportation,most_app,likes
28,주택,단체카톡방 또는 오픈채팅방 링크,남,자영업자,도보,"날씨, 주식 및 비트코인, 뉴스, 코로나 관련 소식 및 확진자 수, 이동수단에 대한 정보",3
21.5,원룸,에브리타임,여,학생,지하철,"날씨, 이동수단에 대한 정보",2
21.5,가족과 함께 살고 있음,지인 소개,여,학생,버스,"날씨, 뉴스, 이동수단에 대한 정보",4
21.5,가족과 함께 살고 있음,에브리타임,여,학생,자동차,"날씨, 미세먼지, 이동수단에 대한 정보",4
21.5,가족과 함께 살고 있음,에브리타임,여,학생,지하철,"날씨, 미세먼지, 주식 및 비트코인, 뉴스, 이동수단에 대한 정보",3
25,원룸,에브리타임,남,학생,지하철,"주식 및 비트코인, 뉴스, 이동수단에 대한 정보",2
28,가족과 함께 살고 있음,지인 소개,남,직장인,지하철,뉴스,3
28,가족과 함께 살고 있음,지인 소개,여,직장인,버스,"날씨, 주식 및 비트코인, 코로나 관련 소식 및 확진자 수, 이동수단에 대한 정보",4
21.5,가족과 함께 살고 있음,에브리타임,남,학생,지하철,"날씨, 미세먼지, 주식 및 비트코인, 뉴스, 이동수단에 대한 정보",5
28,빌라,지인 소개,남,학생,버스,"날씨, 미세먼지, 주식 및 비트코인, 뉴스",2
28,가족과 함께 살고 있음,지인 소개,여,학생,버스,"날씨, 이동수단에 대한 정보",4
21.5,가족과 함께 살고 있음,에브리타임,남,학생,지하철,"날씨, 주식 및 비트코인, 뉴스",4
21.5,가족과 함께 살고 있음,에브리타임,남,학생,버스,"뉴스, 코로나 관련 소식 및 확진자 수, 이동수단에 대한 정보",3
21.5,가족과 함께 살고 있음,에브리타임,여,학생,버스,패션,3
21.5,가족과 함께 살고 있음,에브리타임,여,학생,지하철,"날씨, 미세먼지, 이동수단에 대한 정보",5
21.5,가족과 함께 살고 있음,에브리타임,여,학생,버스,"날씨, 코로나 관련 소식 및 확진자 수, 이동수단에 대한 정보",3
21.5,가족과 함께 살고 있음,에브리타임,남,학생,지하철,"날씨, 미세먼지, 이동수단에 대한 정보",1
25,가족과 함께 살고 있음,에브리타임,남,학생,지하철,"날씨, 미세먼지, 뉴스, 이동수단에 대한 정보",5
25,가족과 함께 살고 있음,에브리타임,여,학생,지하철,이동수단에 대한 정보,1
35,가족과 함께 살고 있음,단체카톡방 또는 오픈채팅방 링크,남,직장인,지하철,"날씨, 뉴스, 이동수단에 대한 정보",2
28,가족과 함께 살고 있음,지인 소개,남,무직,지하철,"날씨, 주식 및 비트코인, 뉴스",4
31.5,원룸,지인 소개,남,직장인,도보,"날씨, 뉴스, 이동수단에 대한 정보",5
31.5,가족과 함께 살고 있음,지인 소개,남,직장인,자동차,"날씨, 뉴스, 유튜브",5
31.5,원룸,지인 소개,남,직장인,지하철,"날씨, 주식 및 비트코인, 이동수단에 대한 정보",1
25,원룸,단체카톡방 또는 오픈채팅방 링크,여,직장인,도보,"날씨, 주식 및 비트코인",4
31.5,빌라,지인 소개,남,직장인,지하철,"날씨, 주식 및 비트코인, 뉴스, 이동수단에 대한 정보",3
25,가족과 함께 살고 있음,지인 소개,남,학생,버스,"날씨, 뉴스, 코로나 관련 소식 및 확진자 수",3
28,가족과 함께 살고 있음,지인 소개,남,무직,지하철,"날씨, 주식 및 비트코인",4
35,가족과 함께 살고 있음,단체카톡방 또는 오픈채팅방 링크,여,자영업자,자동차,"날씨, 미세먼지, 주식 및 비트코인",2
31.5,원룸,지인 소개,여,무직,버스,"날씨, 이동수단에 대한 정보",4
31.5,가족과 함께 살고 있음,단체카톡방 또는 오픈채팅방 링크,여,직장인,지하철,"뉴스, 코로나 관련 소식 및 확진자 수, 이동수단에 대한 정보",3
21.5,원룸,에브리타임,남,학생,버스,"날씨, 주식 및 비트코인, 이동수단에 대한 정보",5
38,가족과 함께 살고 있음,지인 소개,남,직장인,자동차,날씨,5
35,원룸,지인 소개,남,직장인,자동차,"날씨, 미세먼지",4
21.5,가족과 함께 살고 있음,에브리타임,여,학생,지하철,"날씨, 미세먼지, 코로나 관련 소식 및 확진자 수, 이동수단에 대한 정보",4
21.5,원룸,에브리타임,남,학생,지하철,"날씨, 이동수단에 대한 정보",2
21.5,가족과 함께 살고 있음,에브리타임,남,학생,버스,"날씨, 이동수단에 대한 정보",5
25,원룸,에브리타임,여,학생,버스,"날씨, 뉴스, 코로나 관련 소식 및 확진자 수, 이동수단에 대한 정보",4
21.5,가족과 함께 살고 있음,에브리타임,남,학생,지하철,"날씨, 이동수단에 대한 정보",5
38,가족과 함께 살고 있음,지인 소개,남,자영업자,자동차,"뉴스, 코로나 관련 소식 및 확진자 수",5
25,빌라,지인 소개,여,자영업자,지하철,이동수단에 대한 정보,2
21.5,기숙사,에브리타임,여,학생,도보,날씨,4
21.5,기숙사,에브리타임,남,학생,버스,"날씨, 미세먼지, 주식 및 비트코인",5
21.5,기숙사,에브리타임,여,학생,도보,"날씨, 이동수단에 대한 정보",2
21.5,가족과 함께 살고 있음,에브리타임,여,학생,도보,"날씨, 미세먼지, 코로나 관련 소식 및 확진자 수, 이동수단에 대한 정보",4
21.5,가족과 함께 살고 있음,에브리타임,여,학생,지하철,"미세먼지, 코로나 관련 소식 및 확진자 수, 이동수단에 대한 정보",4
21.5,가족과 함께 살고 있음,에브리타임,여,학생,버스,이동수단에 대한 정보,3
21.5,기숙사,에브리타임,남,학생,도보,"날씨, 미세먼지, 주식 및 비트코인",5
21.5,가족과 함께 살고 있음,에브리타임,여,학생,버스,"미세먼지, 주식 및 비트코인, 이동수단에 대한 정보",2
21.5,가족과 함께 살고 있음,에브리타임,여,학생,버스,"뉴스, 이동수단에 대한 정보",3
21.5,가족과 함께 살고 있음,에브리타임,남,학생,지하철,"뉴스, 이동수단에 대한 정보, 영화",4
21.5,기숙사,에브리타임,남,학생,도보,"날씨, 코로나 관련 소식 및 확진자 수, 이동수단에 대한 정보",4
21.5,가족과 함께 살고 있음,에브리타임,남,학생,지하철,"날씨, 주식 및 비트코인, 이동수단에 대한 정보",5
21.5,가족과 함께 살고 있음,에브리타임,남,학생,도보,"미세먼지, 주식 및 비트코인",3
21.5,가족과 함께 살고 있음,에브리타임,여,학생,버스,"날씨, 뉴스, 이동수단에 대한 정보",4
25,가족과 함께 살고 있음,에브리타임,남,학생,도보,"날씨, 뉴스",3
21.5,기숙사,에브리타임,남,학생,버스,"날씨, 주식 및 비트코인, 뉴스, 이동수단에 대한 정보",4
25,가족과 함께 살고 있음,에브리타임,남,학생,지하철,"날씨, 미세먼지, 뉴스, 코로나 관련 소식 및 확진자 수, 이동수단에 대한 정보",5
25,원룸,에브리타임,남,학생,도보,"날씨, 주식 및 비트코인, 이동수단에 대한 정보",4
21.5,가족과 함께 살고 있음,에브리타임,여,학생,버스,"날씨, 미세먼지, 주식 및 비트코인, 뉴스, 이동수단에 대한 정보",4
21.5,가족과 함께 살고 있음,에브리타임,여,학생,버스,"날씨, 이동수단에 대한 정보",3
21.5,가족과 함께 살고 있음,에브리타임,여,학생,버스,"날씨, 주식 및 비트코인, 이동수단에 대한 정보",4
25,가족과 함께 살고 있음,에브리타임,여,직장인,자동차,"날씨, 주식 및 비트코인, 코로나 관련 소식 및 확진자 수, 이동수단에 대한 정보",4
21.5,가족과 함께 살고 있음,에브리타임,여,학생,버스,"날씨, 뉴스, 이동수단에 대한 정보",4
21.5,가족과 함께 살고 있음,에브리타임,여,학생,지하철,날씨,4
21.5,가족과 함께 살고 있음,에브리타임,여,학생,자전거 및 퍼스널 모빌리티,이동수단에 대한 정보,1
21.5,가족과 함께 살고 있음,에브리타임,여,학생,지하철,"날씨, 코로나 관련 소식 및 확진자 수, 이동수단에 대한 정보",3
25,빌라,에브리타임,여,학생,지하철,"날씨, 코로나 관련 소식 및 확진자 수, 이동수단에 대한 정보",4
21.5,가족과 함께 살고 있음,에브리타임,남,학생,지하철,이동수단에 대한 정보,1
21.5,가족과 함께 살고 있음,에브리타임,여,학생,도보,"날씨, 주식 및 비트코인, 이동수단에 대한 정보",3
21.5,가족과 함께 살고 있음,에브리타임,여,학생,지하철,날씨,3
28,가족과 함께 살고 있음,에브리타임,남,학생,지하철,"날씨, 미세먼지, 뉴스, 코로나 관련 소식 및 확진자 수, 이동수단에 대한 정보",4
21.5,가족과 함께 살고 있음,에브리타임,여,학생,버스,"날씨, 이동수단에 대한 정보",5
21.5,가족과 함께 살고 있음,에브리타임,여,학생,지하철,"날씨, 미세먼지, 코로나 관련 소식 및 확진자 수, 이동수단에 대한 정보",5
